index,X,Y,cell_type
1201,2297,2074,2
1202,2302,2055,2
1203,2276,2034,2
1204,2322,2017,2
1205,2052,2873,2
1206,2017,2914,2
1207,2026,2959,2
1208,1996,2989,2
1209,2187,2978,2
1210,2218,2964,2
1211,2249,2959,2
1212,2253,2982,2
1213,2228,3017,2
1214,2294,2999,2
1215,2303,2934,2
1216,2279,2916,2
1217,2214,2831,2
1218,2430,3017,2
1219,2463,2983,2
1220,2490,2993,2
1221,2496,2956,2
1222,2514,2972,2
1223,2536,2895,2
1224,2435,3123,2
1225,2134,3295,2
1226,2073,3297,2
1227,2072,3366,2
1228,2141,3344,2
1229,2456,3175,2
1230,2521,3198,2
1231,2470,3214,2
1232,2473,3275,2
1233,2488,3288,2
1234,2439,3235,2
1235,2421,3212,2
1236,2376,3242,2
1237,2338,3257,2
1238,2319,3298,2
1239,2336,3328,2
1240,2372,3290,2
1241,2418,3318,2
1242,2366,3340,2
1243,2342,3395,2
1244,2359,3430,2
1245,2300,3423,2
1246,2227,3415,2
1247,2153,3391,2
1248,2137,3434,2
1249,2217,3508,2
1250,2384,3647,2
1251,2451,3669,2
1252,2526,3629,2
1253,1942,3,2
1254,1903,41,2
1255,1864,107,2
1256,1820,93,2
1257,1864,34,2
1258,1856,17,2
1259,1794,10,2
1260,1759,34,2
1261,1767,62,2
1262,1486,22,2
1263,1477,48,2
1264,1506,46,2
1265,1614,162,2
1266,1693,154,2
1267,1682,191,2
1268,1679,219,2
1269,1732,189,2
1270,1734,214,2
1271,1757,160,2
1272,1772,224,2
1273,1508,308,2
1274,1586,330,2
1275,1555,352,2
1276,1512,380,2
1277,1755,353,2
1278,1851,309,2
1279,1983,342,2
1280,1975,386,2
1281,1976,583,2
1282,1826,365,2
1283,1783,373,2
1284,1785,412,2
1285,1859,387,2
1286,1855,445,2
1287,1871,464,2
1288,1857,484,2
1289,1816,464,2
1290,1766,431,2
1291,1721,433,2
1292,1693,412,2
1293,1687,436,2
1294,1706,477,2
1295,1744,521,2
1296,1776,481,2
1297,1789,498,2
1298,1804,564,2
1299,1844,568,2
1300,1872,574,2
1301,1832,604,2
1302,1893,596,2
1303,1763,582,2
1304,1703,559,2
1305,1657,553,2
1306,1653,592,2
1307,1529,594,2
1308,1492,644,2
1309,1487,666,2
1310,1539,696,2
1311,1590,654,2
1312,1713,618,2
1313,1911,641,2
1314,1900,735,2
1315,1878,794,2
1316,1851,771,2
1317,1824,718,2
1318,1790,750,2
1319,1711,729,2
1320,1718,748,2
1321,1632,774,2
1322,1613,770,2
1323,1791,788,2
1324,1773,804,2
1325,1902,846,2
1326,1660,1025,2
1327,1832,1189,2
1328,1830,1218,2
1329,1807,1241,2
1330,1795,1267,2
1331,1777,1242,2
1332,1743,1228,2
1333,1890,1249,2
1334,1876,1283,2
1335,1840,1282,2
1336,1821,1298,2
1337,1839,1333,2
1338,1886,1346,2
1339,1907,1292,2
1340,1935,1320,2
1341,1973,1284,2
1342,1973,1348,2
1343,1863,1383,2
1344,1862,1422,2
1345,1808,1421,2
1346,1806,1457,2
1347,1798,1474,2
1348,1691,1371,2
1349,1665,1336,2
1350,1625,1308,2
1351,1588,1285,2
1352,1439,1326,2
1353,1775,1522,2
1354,1739,1571,2
1355,1812,1596,2
1356,1934,1620,2
1357,1974,1669,2
1358,1933,1710,2
1359,1514,1726,2
1360,1508,1678,2
1361,1482,1697,2
1362,1442,1645,2
1363,1459,1595,2
1364,1442,1719,2
1365,1522,1951,2
1366,1554,1987,2
1367,1590,1953,2
1368,1610,1965,2
1369,1794,1906,2
1370,1756,1960,2
1371,1830,1947,2
1372,1913,1977,2
1373,1734,2382,2
1374,1728,2404,2
1375,1687,2393,2
1376,1667,2354,2
1377,1643,2346,2
1378,1610,2384,2
1379,1587,2383,2
1380,1633,2443,2
1381,1683,2445,2
1382,1620,2502,2
1383,1671,2515,2
1384,1701,2562,2
1385,1687,2600,2
1386,1689,2762,2
1387,1727,2697,2
1388,1771,2703,2
